Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7528467,-79.282067,Starbucks,43.752465,-79.276364,Coffee Shop
"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7528467,-79.282067,Kim Kim restaurant,43.75383283792732,-79.27661122245037,Chinese Restaurant
"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7528467,-79.282067,Kairali,43.754914739291834,-79.27694504646365,Indian Restaurant
"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7528467,-79.282067,The Beer Store,43.7506033,-79.2768014,Beer Store
"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7528467,-79.282067,KFC,43.752966,-79.276152,Fast Food Restaurant
"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7528467,-79.282067,Kennedy Bowlerama,43.750512149749966,-79.27704001209094,Bowling Alley
"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7528467,-79.282067,White Shield Plaza,43.750566232551144,-79.27750444784891,Plaza
"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7528467,-79.282067,Cake House Bakery,43.750564158244494,-79.27714901348529,Bakery
"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7528467,-79.282067,Lone Tai Supermarket,43.7503458515419,-79.27718830128853,Asian Restaurant
"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7528467,-79.282067,Keilhauer,43.75386996319612,-79.28794034094962,Furniture / Home Store
"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7528467,-79.282067,Omescape Scarborough,43.754158,-79.27623,Gaming Cafe
"Wexford, Maryvale",43.752213749999996,-79.30247259999999,WIND Mobile,43.75012,-79.2996,Electronics Store
"Wexford, Maryvale",43.752213749999996,-79.30247259999999,Maryvale Swimming Pool,43.7529001735365,-79.30661201477051,Pool
"Wexford, Maryvale",43.752213749999996,-79.30247259999999,Warden Ave & Tower Drive,43.754414,-79.29845,Intersection
"Wexford, Maryvale",43.752213749999996,-79.30247259999999,Express Convenience,43.754732551782645,-79.29789911186526,Convenience Store
Agincourt,43.7853531,-79.2785494,Tim Hortons,43.78563681034057,-79.27921459078789,Coffee Shop
Agincourt,43.7853531,-79.2785494,In Cheon House Korean & Japanese Restaurant 인천관,43.78646767038441,-79.27569314969834,Korean Restaurant
Agincourt,43.7853531,-79.2785494,One2 Snacks,43.787047925304336,-79.27665787813419,Asian Restaurant
Agincourt,43.7853531,-79.2785494,Beef Noodle Restaurant 老李牛肉麵,43.785937477135555,-79.27603076031062,Chinese Restaurant
Agincourt,43.7853531,-79.2785494,大泉港式快餐 Great Fountain Fast Food,43.78683543504715,-79.27740017282075,Food Court
Agincourt,43.7853531,-79.2785494,Congee King,43.78590778606772,-79.27604151758148,Chinese Restaurant
Agincourt,43.7853531,-79.2785494,Green Bamboo 青竹,43.78534584436866,-79.27764029905232,Vietnamese Restaurant
Agincourt,43.7853531,-79.2785494,Honest Kitchen 漁苑食坊,43.784765,-79.277505,Chinese Restaurant
Agincourt,43.7853531,-79.2785494,Fisherman Villa 褔臨門,43.78710781967966,-79.27593050538756,Hong Kong Restaurant
Agincourt,43.7853531,-79.2785494,Peking Duck Restaurant 北京烤鸭店,43.78617895822158,-79.27575633541294,Peking Duck Restaurant
Agincourt,43.7853531,-79.2785494,Global Imperial Cuisine 國寶軒,43.786719157990575,-79.2743816188499,Cantonese Restaurant
Agincourt,43.7853531,-79.2785494,Agincourt GO Station,43.785801757808315,-79.28432350540315,Train Station
"Clarks Corners, Tam O'Shanter, Sullivan",43.7810454,-79.2980941,The Royal Chinese Restaurant 避風塘小炒,43.78050473445372,-79.29884391314476,Chinese Restaurant
"Clarks Corners, Tam O'Shanter, Sullivan",43.7810454,-79.2980941,Kub Khao,43.780437780734204,-79.2998370364667,Thai Restaurant
"Clarks Corners, Tam O'Shanter, Sullivan",43.7810454,-79.2980941,Little Caesars Pizza,43.78056271894292,-79.2986242771319,Pizza Place
"Clarks Corners, Tam O'Shanter, Sullivan",43.7810454,-79.2980941,Popeyes Louisiana Kitchen,43.780476,-79.29846,Fried Chicken Joint
"Clarks Corners, Tam O'Shanter, Sullivan",43.7810454,-79.2980941,RBC Royal Bank,43.78193630274129,-79.29257992750672,Bank
"Clarks Corners, Tam O'Shanter, Sullivan",43.7810454,-79.2980941,KFC,43.7804,-79.3007,Fast Food Restaurant
"Clarks Corners, Tam O'Shanter, Sullivan",43.7810454,-79.2980941,TD Canada Trust,43.7791686,-79.3036167,Bank
"Clarks Corners, Tam O'Shanter, Sullivan",43.7810454,-79.2980941,Circle K,43.7809377,-79.2986338,Convenience Store
"Clarks Corners, Tam O'Shanter, Sullivan",43.7810454,-79.2980941,Rexall,43.78073190083844,-79.2982568317862,Pharmacy
"Clarks Corners, Tam O'Shanter, Sullivan",43.7810454,-79.2980941,Rexall,43.7809,-79.298764,Pharmacy
"Clarks Corners, Tam O'Shanter, Sullivan",43.7810454,-79.2980941,Gusto Pizza,43.78360724036883,-79.29898327417831,Pizza Place
"Clarks Corners, Tam O'Shanter, Sullivan",43.7810454,-79.2980941,Tim Hortons,43.7838083,-79.293351,Coffee Shop
"Milliken, Agincourt North, Steeles East, L'Amoreaux East",43.81210805,-79.30386475,Chronic Ink,43.81433653425151,-79.30700998769358,Tattoo Parlor
"Milliken, Agincourt North, Steeles East, L'Amoreaux East",43.81210805,-79.30386475,W.B Chinese Cooking 味佰•时尚烤鱼,43.811569954062335,-79.30293661719483,Chinese Restaurant
"Milliken, Agincourt North, Steeles East, L'Amoreaux East",43.81210805,-79.30386475,Kennedy & McNicoll,43.8121001440158,-79.30217515105244,Intersection
"Milliken, Agincourt North, Steeles East, L'Amoreaux East",43.81210805,-79.30386475,Taste Tea Station,43.81175597747071,-79.30169087330732,Tea Room
"Milliken, Agincourt North, Steeles East, L'Amoreaux East",43.81210805,-79.30386475,L'Amoreaux Community Recreation Centre,43.81210616188243,-79.3050972736739,Athletics & Sports
"Milliken, Agincourt North, Steeles East, L'Amoreaux East",43.81210805,-79.30386475,Nikada Sushi Robata,43.811668,-79.302939,Japanese Restaurant
"Milliken, Agincourt North, Steeles East, L'Amoreaux East",43.81210805,-79.30386475,L'Amoreaux Baseball Diamond,43.81440229521104,-79.30695760275883,Baseball Field
"Milliken, Agincourt North, Steeles East, L'Amoreaux East",43.81210805,-79.30386475,L'Amoreaux Park (North),43.81450306435891,-79.30697395587144,Park
"Steeles West, L'Amoreaux West",43.807590399999995,-79.31025235,McNicoll & Birchmount,43.80868707712144,-79.31100177327474,Intersection
"Steeles West, L'Amoreaux West",43.807590399999995,-79.31025235,Kidstown,43.80691956492157,-79.3096316104861,Pool
"Steeles West, L'Amoreaux West",43.807590399999995,-79.31025235,Kidstown Water Park,43.80822677956525,-79.30943351299595,Pool
"Steeles West, L'Amoreaux West",43.807590399999995,-79.31025235,Zain's Indian Grocery,43.81012949300771,-79.31007182562468,Food & Drink Shop
"Steeles West, L'Amoreaux West",43.807590399999995,-79.31025235,L'Amoreaux Park (South),43.8051571443919,-79.30729866027832,Park
"Steeles West, L'Amoreaux West",43.807590399999995,-79.31025235,L'Amoreaux Tennis Centre,43.80647422098545,-79.30468061929213,Tennis Court
"Steeles West, L'Amoreaux West",43.807590399999995,-79.31025235,CARSTAR Toronto St. Clair,43.80391,-79.31339,Auto Garage
Upper Rouge,43.8049304,-79.1658374,Dean Park,43.80436379110694,-79.16915938899648,Park
Upper Rouge,43.8049304,-79.1658374,Paul's Breakfast & Burgers,43.80383471735262,-79.1698247978354,Fast Food Restaurant
Upper Rouge,43.8049304,-79.1658374,Scarlet Ibis Family Restaurant,43.803665,-79.16978,Caribbean Restaurant
Hillcrest Village,43.6816953,-79.4257118,The Stockyards,43.681570353914765,-79.4262096115835,BBQ Joint
Hillcrest Village,43.6816953,-79.4257118,CocoaLatte,43.68176818183194,-79.42515763384645,Café
Hillcrest Village,43.6816953,-79.4257118,Bar Ape,43.68157039469145,-79.42779661718437,Ice Cream Shop
Hillcrest Village,43.6816953,-79.4257118,Wychwood Barns Farmers' Market,43.68001040153905,-79.42384857341463,Farmers Market
Hillcrest Village,43.6816953,-79.4257118,Pukka Restaurant,43.68105502412986,-79.4291869567722,Indian Restaurant
Hillcrest Village,43.6816953,-79.4257118,Wychwood Barns,43.68002809008845,-79.42380960285216,Event Space
Hillcrest Village,43.6816953,-79.4257118,Baker and Scone,43.68161443045213,-79.42607528989137,Café
Hillcrest Village,43.6816953,-79.4257118,Churrasco of St. Clair,43.68168056638893,-79.42545291671884,Portuguese Restaurant
Hillcrest Village,43.6816953,-79.4257118,Ferro Bar Cafe,43.68107983140924,-79.4285699237273,Italian Restaurant
Hillcrest Village,43.6816953,-79.4257118,Mi Tierra,43.680618144484,-79.4311747955151,South American Restaurant
Hillcrest Village,43.6816953,-79.4257118,Krave Coffee,43.68074046687234,-79.42941660923084,Coffee Shop
Hillcrest Village,43.6816953,-79.4257118,The Rushton,43.68138642185842,-79.42780059787597,Restaurant
Hillcrest Village,43.6816953,-79.4257118,Leah's,43.682052866903014,-79.42354681657915,Bakery
Hillcrest Village,43.6816953,-79.4257118,NODO,43.681156,-79.429857,Italian Restaurant
Hillcrest Village,43.6816953,-79.4257118,Pain Perdu,43.68140733172792,-79.42733237382963,American Restaurant
Hillcrest Village,43.6816953,-79.4257118,Moong Sushi,43.68254492330092,-79.42194999656803,Sushi Restaurant
Hillcrest Village,43.6816953,-79.4257118,Asada Mexican Grill,43.68063435437249,-79.43071960521455,Mexican Restaurant
Hillcrest Village,43.6816953,-79.4257118,Aviv,43.6807858,-79.4291666,Jewish Restaurant
Hillcrest Village,43.6816953,-79.4257118,Vannis Bar & Grill,43.68182171159587,-79.4253678427442,Italian Restaurant
Hillcrest Village,43.6816953,-79.4257118,South St. Burger,43.681229019712596,-79.42792927601594,Burger Joint
Hillcrest Village,43.6816953,-79.4257118,Sea Witch Fish and Chips,43.68211157702951,-79.42397462795375,Fish & Chips Shop
Hillcrest Village,43.6816953,-79.4257118,Albert's Real Jamaican Foods,43.683060971578726,-79.4206932229474,Caribbean Restaurant
Hillcrest Village,43.6816953,-79.4257118,Lasa by Lamesa,43.68219624717089,-79.42325592041016,Filipino Restaurant
Hillcrest Village,43.6816953,-79.4257118,Savera Indian Cuisine,43.68057841847422,-79.4308324116619,Indian Restaurant
Hillcrest Village,43.6816953,-79.4257118,The Piper's Pub,43.68103119111243,-79.42934478370216,Restaurant
Hillcrest Village,43.6816953,-79.4257118,Taste of Thai House,43.68273510337587,-79.41966075174597,Thai Restaurant
Hillcrest Village,43.6816953,-79.4257118,Mezzetta,43.681652028150964,-79.425435746772,Mediterranean Restaurant
Hillcrest Village,43.6816953,-79.4257118,El Rincon Mexicano,43.68193784455996,-79.42452611263825,Mexican Restaurant
Hillcrest Village,43.6816953,-79.4257118,Nama Sushi,43.681255,-79.42816,Sushi Restaurant
Hillcrest Village,43.6816953,-79.4257118,Tim Hortons,43.682716,-79.42117,Coffee Shop
Hillcrest Village,43.6816953,-79.4257118,World Class Bakers,43.68160556861528,-79.42576614093647,Bakery
